pressure,radius_internal,radius_external
140.8639122,632.550119556049,669.526
141.445854,633.066623089839,670.014
141.6378348,633.052335178239,670.0005
141.3508635,633.54657100376,670.4675
140.8439142,633.517997467019,670.4405
140.28597,632.965019411319,669.918
139.6810305,633.09255291515,670.0385
139.1140872,632.947556102891,669.9015
138.6311355,632.744872104367,669.71
138.126186,632.947556102891,669.9015
137.156283,632.885111122565,669.8425
135.616437,632.774507797503,669.738
134.7475239,631.821857265457,668.838
133.9756011,632.189704506979,669.1855
133.1856801,631.206786341348,668.257
132.3937593,631.253898187268,668.3015
131.6158371,630.845230000689,667.9155
130.8439143,631.131088985974,668.1855
130.0619925,630.233762439281,667.338
129.2630724,630.017748186805,667.134
128.4551532,630.378296917511,667.4745
127.6682319,629.569281242836,666.7105
126.9033084,628.95450230869,666.13
126.1053882,628.580095951679,665.7765
125.3084679,629.26481230351,666.423
124.5295458,627.762884455088,665.005
123.7656222,628.115628939745,665.338
122.9647023,627.317421019552,664.5845
122.1647823,627.592860264218,664.8445
121.4238564,627.239554074336,664.511
120.6399348,626.761205416083,664.0595
119.8540134,626.552478233565,663.8625
119.0690919,625.96492868081,663.308
118.3051683,625.696829222725,663.055
117.5262462,624.807136254558,662.2155
116.7823206,624.851650698485,662.2575
116.0013987,624.039207226094,661.491
115.2324756,623.558469977453,661.0375
114.458553,623.179469715083,660.68
113.7066282,622.615957976201,660.1485
112.9537035,622.518941337026,660.057
112.1917797,621.902342956369,659.4755
111.4338555,621.210378538038,658.823
110.6749314,620.615379859677,658.262
109.9130076,620.659927408216,658.304
109.1780811,619.72276293083,657.4205
108.4241565,619.505818964093,657.216
107.6712318,618.092027651726,655.8835
106.9543035,617.78641025408,655.5955
106.1883801,617.517919886234,655.3425
105.4504539,616.157225661293,654.0605
104.7025287,615.858931651252,653.7795
103.9726017,614.993680727389,652.9645
103.2556734,614.390047030689,652.396
102.5337456,613.57553953476,651.629
101.819817,612.732230504787,650.835
101.0848905,611.983869153936,650.1305
100.349964,611.094622964907,649.2935
99.600039,610.039447392234,648.3005
98.8631127,609.03827186526,647.3585
98.1551835,608.868733534061,647.199
97.4632527,606.899245457285,645.3465
96.7473243,606.083592332462,644.5795
96.0333957,605.705498778385,644.224
95.3134677,604.757751470266,643.333
94.630536,603.088402118936,641.764
93.9256065,601.820336006205,640.5725
93.2116779,600.30920906094,639.153
92.5157475,599.689512260613,638.571
91.8188172,598.600067973912,637.548
91.1348856,596.808310121744,635.866
90.4369554,595.762467275861,634.8845
89.7320259,594.269243564415,633.4835
89.0370954,593.185015569866,632.4665
88.3481643,590.953973947736,630.3745
87.6742317,589.8007275484,629.2935
86.9763015,587.817910355428,627.4355
86.2893702,586.356954050493,626.067
85.6164375,584.892346329324,624.6955
84.9445047,584.427720881395,624.2605
84.2695722,581.836193700058,621.835
83.5836408,580.594145684722,620.673
82.9047087,578.648100907081,618.853
82.2537738,576.251303018589,616.6125
81.5948397,574.370316171868,614.855
80.9439048,572.8992288661,613.481
80.2679724,571.194668466559,611.8895
79.5970395,568.813185468983,609.667
78.9491043,566.474378753904,607.4855
78.3061686,564.507155425529,605.6515
77.6532339,562.621681242931,603.8945
77.0032989,560.16190542255,601.6035
76.3673625,558.647318544197,600.1935
75.7174275,556.329796472714,598.037
75.0574935,553.80123147626,595.6855
74.4275565,551.663391912697,593.6985
73.7866206,548.970383430083,591.197
73.1466846,546.89407814002,589.2695
72.4957497,544.265754604653,586.831
71.8568136,542.469585750779,585.1655
71.2008792,539.327106065161,582.2535
70.5409452,536.318163621765,579.4675
69.9200073,534.407430126698,577.6995
69.2690724,531.484302765963,574.9965
68.6161377,528.599434955593,572.331
68.003199,525.926257039304,569.863
67.3612632,523.737366975683,567.8435
66.7163277,520.485919877158,564.846
66.0703923,518.048175051917,562.6005
65.4274566,514.944593728657,559.744
64.7845209,512.157996146328,557.1815
64.1745819,509.593337573571,554.825
63.5166477,506.48180033109,551.9685
62.8647129,503.007774672144,548.7825
62.2397754,499.927451371318,545.9605
61.59384,497.976380488695,544.1745
60.9409053,494.333631997027,540.843
60.3159678,491.851764533403,538.5755
59.6520342,489.167804362288,536.1255
59.0200974,485.443963784052,532.73
58.3901604,482.384941939912,529.944
57.7722222,479.526045928031,527.343
57.1492845,476.310795925698,524.421
56.49435,473.629069269003,521.9865
55.8694125,470.369268771485,519.0305
55.2474747,467.767137234567,516.6735
54.6215373,464.421485330537,513.6465
53.984601,461.070321769491,510.6185
53.3556639,458.721944183371,508.499
52.724727,455.434106429648,505.535
52.1227872,453.499142370327,503.7925
51.4878507,449.92323884233,500.576
50.874912,446.794227877467,497.7655
50.264973,444.40160017193,495.619
49.6490346,442.410558717377,493.8345
49.0400955,439.371208611377,491.1135
48.4361559,436.424475156208,488.479
47.8382157,433.414317422281,485.7915
47.2332762,431.850157215002,484.3965
46.6383357,428.440844591902,481.3595
46.0223973,425.798884644643,479.0095
45.4314564,423.098847074028,476.611
44.8315164,421.509316948774,475.2005
44.2405755,417.262958957984,471.438
43.6506345,415.940032493413,470.2675
43.0746921,413.044586027492,467.7085
42.5217474,411.438799525971,466.291
41.9028093,408.86324055162,464.02
41.325867,405.768563832416,461.2955
40.7599236,403.556031951725,459.3505
40.2089787,401.846109692967,457.849
39.6400356,399.974839371956,456.2075
39.056094,396.556510041913,453.2135
38.5121484,394.496938176486,451.4125
37.9532043,393.002417961228,450.107
